id;Name;Quant;Type;Date;Status;Province;lat;lon;;;;;;
Donetsk Oblast;РХМ-4;1;APC;18.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
;Т-64БВ;1;MBT;17.04.2022;DESTROYED;;;;;;;;;
Kharkiv Oblast;Т-64БВ;1;MBT;17.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.247920;37.248682;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;16.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.66528;29.829388;;;;;;
Zaporizhia Oblast;БТР-7;1;APC;16.04.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124;;;;;;
Zaporizhia Oblast;БТР-7;1;APC;16.04.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;16.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.614839;37.138321;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;16.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.450441;30.523550;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;16.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.450441;30.523550;;;;;;
;МТ-ЛБС;1;APC;15.04.2022;DESTROYED;;;;;;;;;
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Donetsk Oblast;Т-72Б;1;MBT;15.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850;;;;;;
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
