id;Name;Quant;Type;Date;Status;Town;Province;lat;lon
Chernihiv Oblast;Т-64БВ;1;MBT;09.04.2022;DESTROYED;ЧЕРНИГОВ;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.517881;31.357565
Donetsk Oblast;Т-64БВ;1;MBT;08.04.2022;DESTROYED;;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Kyiv Oblast;РХМ-4;1;APC;08.04.2022;DESTROYED;ИРПЕНЬ;КИЕВСКАЯ ОБЛАСТЬ;50.514161;30.215410
Donetsk Oblast;БРДМ-2Л1;1;RECCE;07.04.2022;DESTROYED;МАЛЫЙ КЕРМЕНЧИК;ДОНЕЦКАЯ ОБЛАСТЬ;47.630781;36.982374
Donetsk Oblast;Т-64Б;1;MBT;07.04.2022;DESTROYED;КРАСНАЯ ПОЛЯНА;ДОНЕЦКАЯ ОБЛАСТЬ;47.557850;37.074756
Kyiv Oblast;Т-64БВ;1;MBT;07.04.2022;DESTROYED;ИРПЕНЬ;КИЕВСКАЯ ОБЛАСТЬ;50.534111;30.234436
;Т-64БВ ОБР. 2017;1;MBT;05.04.2022;DESTROYED;;;;
Donetsk Oblast;МТ-ЛБ;1;APC;05.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Kyiv Oblast;БТР-3Е;1;APC;05.04.2022;DESTROYED;БУДА-БАБИНЕЦКАЯ;КИЕВСКАЯ ОБЛАСТЬ;50.620189;30.055491
Chernihiv Oblast;Т-64БВ;1;MBT;05.04.2022;DESTROYED;КОЛИЧЕВКА;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.418547;31.307509
Kyiv Oblast;Т-72АМТ;1;MBT;05.04.2022;DESTROYED;;КИЕВСКАЯ ОБЛАСТЬ;50.450458;30.523460
Donetsk Oblast;5Н63С;1;AA;04.04.2022;DESTROYED;;ДОНЕЦКАЯ ОБЛАСТЬ;47.056893;37.307788
Luhansk Oblast;МТ-ЛБ;1;APC;03.04.2022;DESTROYED;ОРЕХОВО-ДОНЕЦКОЕ;ЛУГАНСКАЯ ОБЛАСТЬ;48.770982;38.802217
;Т-72АМТ;1;MBT;03.04.2022;DESTROYED;;;;
Kherson Oblast;9А33Б;1;AA;02.04.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Donetsk Oblast;БТР-3Е;1;APC;01.04.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Zaporizhia Oblast;Т-72АМТ;1;MBT;31.03.2022;DESTROYED;;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124
Kyiv Oblast;Т-64Б1;1;MBT;31.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.565245;30.271484
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;76Н6;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Donetsk Oblast;БТР-3Е;1;APC;30.03.2022;DESTROYED;ТЕРНЫ;ДОНЕЦКАЯ ОБЛАСТЬ;49.095853;37.964115
Kyiv Oblast;БРДМ-2Л1;1;RECCE;30.03.2022;DESTROYED;ИРПЕНЬ;КИЕВСКАЯ ОБЛАСТЬ;50.514161;30.215410
Kyiv Oblast;БТР-3Е;1;APC;30.03.2022;DESTROYED;ИРПЕНЬ;КИЕВСКАЯ ОБЛАСТЬ;50.514161;30.215410
Zaporizhia Oblast;БТР-4Е;1;APC;30.03.2022;DESTROYED;;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
