id;Type;Quant;Date;Status;Province;lat;lon
Kyiv Oblast;RECCE;1;26.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.467221;29.814851
Donetsk Oblast;ARTY;1;24.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.557850;37.074756
Donetsk Oblast;RECCE;1;24.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Chernihiv Oblast;MBT;1;22.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Chernihiv Oblast;APC;1;21.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514
Chernihiv Oblast;ARTY;1;21.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514
Donetsk Oblast;RECCE;1;20.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.514305;37.536670
Donetsk Oblast;ARV;1;20.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.614839;37.138321
;APC;1;18.03.2022;DESTROYED;;;
Kyiv Oblast;MBT;1;17.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;51.017316;29.698133
;APC;1;17.03.2022;DESTROYED;;;
Kyiv Oblast;MBT;1;17.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;51.017316;29.698133
Luhansk Oblast;AA;1;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;AA;1;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;AA;1;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;AA;1;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;AA;1;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Chernihiv Oblast;MBT;1;17.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Donetsk Oblast;APC;1;16.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;APC;1;16.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.694332;37.503432
;ARTY;1;15.03.2022;DESTROYED;;;
Donetsk Oblast;MBT;1;14.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.767665;37.577957
Donetsk Oblast;MBT;1;14.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.767665;37.577957
Luhansk Oblast;RECCE;1;14.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.633795;38.376550
Luhansk Oblast;MBT;1;13.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.072440;38.402439
Luhansk Oblast;MBT;1;13.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.072440;38.402439
Chernihiv Oblast;MBT;1;12.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Donetsk Oblast;APC;1;12.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;MBT;1;11.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.618446;37.493348
Kyiv Oblast;APC;1;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Kyiv Oblast;APC;1;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Kherson Oblast;MBT;1;11.03.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.670195;32.720209
Kyiv Oblast;APC;1;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Donetsk Oblast;MBT;1;11.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.593245;37.504082
Donetsk Oblast;MBT;1;11.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.594493;37.500520
Kyiv Oblast;APC;1;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Kyiv Oblast;APC;1;11.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
;MBT;1;09.03.2022;DESTROYED;;;
Donetsk Oblast;MBT;1;09.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.717179;37.576160
Kherson Oblast;AA;1;08.03.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Chernihiv Oblast;MBT;1;06.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Donetsk Oblast;RECCE;1;05.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.355068;37.139175
Kharkiv Oblast;APC;1;05.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.053756;36.347771
Kherson Oblast;RECCE;1;05.03.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Donetsk Oblast;MBT;1;04.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.585948;37.658922
Donetsk Oblast;MBT;1;04.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512
Zaporizhia Oblast;APC;1;04.03.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;46.905397;36.327924
Kharkiv Oblast;AA;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;;
Kharkiv Oblast;APC;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Kharkiv Oblast;APC;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
;APC;1;03.03.2022;DESTROYED;;;
Kharkiv Oblast;APC;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Kharkiv Oblast;AA;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Kharkiv Oblast;MBT;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;MBT;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;APC;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;MBT;1;03.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Donetsk Oblast;MBT;1;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.205705;37.749993
;AA;1;02.03.2022;DESTROYED;;;
Donetsk Oblast;MBT;1;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.602295;37.515090
Donetsk Oblast;MBT;1;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.602295;37.515090
Donetsk Oblast;RECCE;1;02.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.514305;37.536670
Donetsk Oblast;APC;1;01.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.099641; 37.821589
Kyiv Oblast;RECCE;1;01.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.511136;30.789981
Kyiv Oblast;APC;1;01.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Sumy Oblast;RECCE;1;28.02.2022;DESTROYED;СУМСКАЯ ОБЛАСТЬ;51.868672;33.472270
Donetsk Oblast;APC;1;28.02.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.205705;37.749993
Donetsk Oblast;MBT;1;28.02.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.205705;37.749993
Zaporizhia Oblast;APC;1;28.02.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;46.842187;35.372880
Kharkiv Oblast;APC;1;27.02.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Donetsk Oblast;RECCE;1;27.02.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512
Donetsk Oblast;RECCE;1;27.02.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512
Luhansk Oblast;MBT;1;27.02.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.953355;38.490268
Donetsk Oblast;MBT;1;27.02.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.528143;37.666360
Luhansk Oblast;MBT;1;27.02.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.953355;38.490268
Luhansk Oblast;MBT;1;27.02.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.953355;38.490268
Luhansk Oblast;MBT;1;27.02.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.953355;38.490268
Luhansk Oblast;AA;1;26.02.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.912914;38.419552
Kharkiv Oblast;APC;1;26.02.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;APC;1;26.02.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Mykolaiv Oblast;ARTY;1;26.02.2022;DESTROYED;НИКОЛАЕВСКАЯ ОБЛАСТЬ;46.975574;31.993813
;RECCE;1;26.02.2022;DESTROYED;;;
;APC;1;26.02.2022;DESTROYED;;;
